Location,Risk_Class,Confidence
Loc_24,No Fire,87.08059288295064
Loc_1,High Risk,99.99785462261703
Loc_2,High Risk,99.64878430454914
Loc_3,High Risk,99.80782501123129
Loc_4,High Risk,99.9820171300024
Loc_5,High Risk,99.71170189335344
Loc_6,High Risk,99.91640301033293
Loc_7,High Risk,99.99951421090103
Loc_8,High Risk,98.53951775781506
Loc_9,High Risk,99.99543168074148
Loc_10,High Risk,99.7610104577684
Loc_11,High Risk,99.92815817294081
Loc_12,High Risk,99.99204372541452
Loc_13,High Risk,99.99546538557865
Loc_14,High Risk,99.99988643697127
Loc_15,High Risk,99.96369498342943
Loc_16,High Risk,99.99988385637471
Loc_17,High Risk,99.87504403915386
Loc_18,High Risk,99.94006255474058
Loc_19,High Risk,99.97492819266591
Loc_20,High Risk,99.99942288814935
Loc_21,High Risk,99.9708123772595
Loc_22,High Risk,99.99968536792466
Loc_23,High Risk,99.99475449830773
Loc_25,High Risk,99.99978630435325
